date,open,high,low,close,adjusted_close,volume
5/11/2026,6959.94,7001.68,6846.63,6905.62,6905.62,353618500
5/8/2026,7182.96,7186.83,6969.4,6969.4,6969.4,393674100
5/7/2026,7160.79,7207.08,7107.17,7174.32,7174.32,327636900
5/6/2026,7086.34,7127.72,7049.92,7092.47,7092.47,338543400
5/5/2026,6968.57,7069.21,6921.61,7057.11,7057.11,364949700
5/4/2026,6988.92,7069.69,6946.06,6971.95,6971.95,553310400
4/30/2026,7103.26,7109,6876.58,6956.8,6956.8,451512600
4/29/2026,7096.61,7126.06,7063.99,7101.23,7101.23,398389400
4/28/2026,7128.47,7151.51,7032.98,7072.39,7072.39,272860900
4/27/2026,7158.51,7230.03,7106.52,7106.52,7106.52,292563300
4/24/2026,7378.07,7383.4,7115.97,7129.49,7129.49,415830600
4/23/2026,7564.42,7582.5,7378.61,7378.61,7378.61,503505300
4/22/2026,7528.34,7578.05,7513.94,7541.61,7541.61,459264700
4/21/2026,7560.29,7568.99,7511.83,7559.38,7559.38,405582600
4/20/2026,7663.4,7692.15,7570.42,7594.11,7594.11,375256000
4/17/2026,7645.81,7673.86,7607.96,7634,7634,359890300
4/16/2026,7663.34,7705.03,7575.53,7621.38,7621.38,364955200
4/15/2026,7750.9,7773.58,7623.59,7623.59,7623.59,463335700
4/14/2026,7598.8,7686.35,7592.74,7675.95,7675.95,487814900
4/13/2026,7410.08,7527.87,7351.36,7500.19,7500.19,373963700
4/10/2026,7346.49,7488.02,7346.49,7458.5,7458.5,355891700
4/9/2026,7238.46,7308.58,7191.59,7307.59,7307.59,258635500
4/8/2026,7162.41,7281.86,7118.58,7279.21,7279.21,380025400
4/7/2026,7001.28,7022.04,6942.63,6971.03,6971.03,225664500
4/6/2026,7001.56,7009.23,6934.89,6989.43,6989.43,252607400
4/2/2026,7153.11,7161.8,7019.23,7026.78,7026.78,225269500
4/1/2026,7149.25,7207.17,7136.25,7184.44,7184.44,295360000
3/31/2026,7122.99,7155.55,7031.1,7048.22,7048.22,231095700
3/30/2026,7020.53,7104.64,6945.5,7091.67,7091.67,221811800
3/27/2026,7136.37,7154.56,7070.21,7097.06,7097.06,171896900
3/26/2026,7313.67,7323.7,7152.59,7164.09,7164.09,257658000
3/25/2026,7084.62,7302.12,7057.22,7302.12,7302.12,346637800
3/17/2026,7074.61,7148.25,7059.89,7106.84,7106.84,226881800
3/16/2026,7115.45,7120.19,6917.32,7022.29,7022.29,264167600
3/13/2026,7338.82,7350.28,7132.21,7137.21,7137.21,256288700
3/12/2026,7398.85,7436.5,7323.74,7362.12,7362.12,234355700
3/11/2026,7484.77,7527.32,7380.81,7389.4,7389.4,253162500
3/10/2026,7443.05,7499.82,7372.82,7440.91,7440.91,309617900
3/9/2026,7374.31,7403.73,7156.68,7337.37,7337.37,406185700
3/6/2026,7699.47,7700.32,7500.08,7585.69,7585.69,291110400
3/5/2026,7695.35,7765.61,7678.53,7710.54,7710.54,303915000
3/4/2026,7896.38,7897.81,7486.32,7577.06,7577.06,485472100
3/3/2026,8059.87,8098.39,7932.52,7939.77,7939.77,396162400
3/2/2026,8092.9,8133.69,8016.83,8016.83,8016.83,527702300
2/27/2026,8211.3,8246.95,8093.75,8235.49,8235.49,441200100
2/26/2026,8351.36,8358.96,8139.82,8235.26,8235.26,450264700
2/25/2026,8318.14,8373.48,8259.75,8322.23,8322.23,441816300
2/24/2026,8428.05,8437.09,8259.48,8280.83,8280.83,509728100
2/23/2026,8334.54,8397.07,8327.57,8396.08,8396.08,443116900
2/20/2026,8300.22,8328.42,8236.75,8271.77,8271.77,400251500
2/19/2026,8357.45,8376.2,8251.81,8274.08,8274.08,435377400
2/18/2026,8235.81,8310.23,8227.45,8310.23,8310.23,459026600
2/13/2026,8240.01,8251.99,8170.59,8212.27,8212.27,434442400
2/12/2026,8317.24,8334.02,8220.15,8265.35,8265.35,379401500
2/11/2026,8152.79,8290.97,8118.16,8290.97,8290.97,545693700
2/10/2026,8031.58,8140.86,8011.13,8131.74,8131.74,374472200
2/9/2026,7970.02,8031.87,7863.01,8031.87,8031.87,310222600
2/6/2026,7945.04,8025.14,7861.69,7935.26,7935.26,312234100
2/5/2026,8154.6,8214.46,8102.79,8103.88,8103.88,323626200
2/4/2026,8121.03,8194.68,8050.4,8146.72,8146.72,404556000
2/3/2026,7888.77,8122.6,7712.35,8122.6,8122.6,545340400
2/2/2026,8306.16,8313.06,7820.23,7922.73,7922.73,444961400
1/30/2026,8308.72,8408.3,8167.16,8329.61,8329.61,478640200
1/29/2026,8027.83,8296.94,7481.99,8232.2,8232.2,906233100
1/28/2026,8393.51,8596.17,8187.73,8320.56,8320.56,557055000
1/27/2026,8974.57,8980.23,8873.48,8980.23,8980.23,536008400
1/26/2026,8967.73,9058.05,8923.53,8975.33,8975.33,491763600
1/23/2026,9031.49,9039.67,8837.83,8951.01,8951.01,587299800
1/22/2026,9052.17,9109.71,8992.13,8992.18,8992.18,661020800
1/21/2026,9094.43,9105.23,8977.68,9010.33,9010.33,553244200
1/20/2026,9156.19,9174.47,9120.15,9134.7,9134.7,606446200
1/19/2026,9098.7,9133.87,9026,9133.87,9133.87,541550600
1/15/2026,9072.3,9100.83,9041,9075.41,9075.41,446899000
1/14/2026,9007.05,9049.3,8979.6,9032.58,9032.58,580700100
1/13/2026,8931.24,8956.73,8841.02,8948.3,8948.3,538438100
1/12/2026,8991.76,9000.97,8715.41,8884.72,8884.72,697907000
1/9/2026,8969.15,8981.02,8908.17,8936.75,8936.75,499545200
1/8/2026,8946.7,9002.92,8918.41,8925.47,8925.47,489316100
1/7/2026,8959.09,8970.87,8916.03,8944.81,8944.81,655409500
1/6/2026,8890.72,8940.11,8839.01,8933.61,8933.61,630432800
1/5/2026,8778.73,8859.19,8732.32,8859.19,8859.19,665735100
1/2/2026,8676.74,8748.13,8664.97,8748.13,8748.13,471863900
12/30/2025,8627.4,8663.67,8584.87,8646.94,8646.94,308173000
12/29/2025,8545.72,8652.18,8545.72,8644.26,8644.26,334277800
12/24/2025,8597.39,8611.33,8525.1,8537.91,8537.91,280698800
12/23/2025,8656.65,8667.73,8567,8584.78,8584.78,329812800
12/22/2025,8629.25,8648.79,8609.39,8645.84,8645.84,374939200
12/19/2025,8657.24,8671.77,8562.89,8609.55,8609.55,307160800
12/18/2025,8705.14,8730.71,8618.2,8618.2,8618.2,328562900
12/17/2025,8708.33,8729.47,8660.75,8677.34,8677.34,341969700
12/16/2025,8696.7,8700.86,8611.35,8686.47,8686.47,431043000
12/15/2025,8705.24,8720.68,8622.99,8649.66,8649.66,553538600
12/12/2025,8651.77,8680.04,8585.42,8660.5,8660.5,457344900
12/11/2025,8764.09,8776.97,8560.11,8620.48,8620.48,667238000
12/10/2025,8713.71,8720.88,8668.61,8700.92,8700.92,623753400
12/9/2025,8743.21,8749.26,8626.85,8657.18,8657.18,498676700
12/8/2025,8676.73,8720.09,8642.06,8710.7,8710.7,525913600
12/5/2025,8658.89,8689.1,8617.04,8632.76,8632.76,421538600
12/4/2025,8646.65,8650.3,8606.9,8640.2,8640.2,447262700
12/3/2025,8655.02,8669.19,8591.81,8611.79,8611.79,432093300
12/2/2025,8577.61,8625.64,8564.7,8617.04,8617.04,405114200
12/1/2025,8541.54,8553.62,8493.25,8548.79,8548.79,433587600
11/28/2025,8555.66,8572.36,8495.21,8508.71,8508.71,386357400
11/27/2025,8611.33,8622.27,8521.5,8545.87,8545.87,463624300
11/26/2025,8533.89,8602.13,8503.15,8602.13,8602.13,498634000
11/25/2025,8570.85,8574.38,8487.22,8521.88,8521.88,414092000
11/24/2025,8458.29,8570.25,8429.46,8570.25,8570.25,471629100
11/21/2025,8403.9,8432.6,8361.27,8414.35,8414.35,288992600
11/20/2025,8449.54,8491.43,8419.92,8419.92,8419.92,319147400
11/19/2025,8384.36,8426.63,8375.58,8406.58,8406.58,394548300
11/18/2025,8427.4,8442.87,8341.9,8361.93,8361.93,374837900
11/17/2025,8397.84,8452.33,8392,8416.88,8416.88,382110500
11/14/2025,8378.13,8417.13,8360.94,8370.44,8370.44,422843300
11/13/2025,8412.83,8418.16,8354.84,8372,8372,534184900
11/12/2025,8392.28,8428.95,8377.5,8388.57,8388.57,491096300
11/11/2025,8437.96,8443.69,8338.4,8366.51,8366.51,677885600
11/10/2025,8443.32,8478.15,8391.24,8391.24,8391.24,415934000
11/7/2025,8346.58,8398.76,8332.6,8394.59,8394.59,227520700
11/6/2025,8354.68,8362.92,8289.89,8337.06,8337.06,229181000
11/5/2025,8213.6,8318.53,8181.9,8318.53,8318.53,333837700
11/4/2025,8275.95,8317.08,8225.91,8241.91,8241.91,254611100
11/3/2025,8208.03,8282.16,8201.36,8275.08,8275.08,338112200
10/31/2025,8202.52,8215.55,8144.08,8163.88,8163.88,245393300
10/30/2025,8176.36,8231.88,8145.6,8184.06,8184.06,326703000
10/29/2025,8107.38,8169.14,8042.63,8166.22,8166.22,248336300
10/28/2025,8144.42,8151.33,8039.85,8092.63,8092.63,282866700
10/27/2025,8322.22,8354.67,7959.17,8117.15,8117.15,359000200
10/24/2025,8294.89,8351.06,8271.72,8271.72,8271.72,238196400
10/23/2025,8179.88,8292.89,8179.61,8274.35,8274.35,281648700
10/22/2025,8235.7,8261.84,8141.99,8152.55,8152.55,275367500
10/21/2025,8165.69,8238.08,8161.19,8238.08,8238.08,281761500
10/20/2025,7988.45,8117.27,7937.38,8088.98,8088.98,307599100
10/17/2025,8132.75,8140.6,7854.31,7915.66,7915.66,353739000
10/16/2025,8064.68,8148.04,8030.78,8124.76,8124.76,246641300
10/15/2025,8107.3,8132.52,7936.37,8051.17,8051.17,329138800
10/14/2025,8269.48,8284.91,7974.03,8066.52,8066.52,440487100
10/13/2025,8169.65,8288.28,8133.63,8227.2,8227.2,366939200
10/10/2025,8259.08,8270.33,8194.05,8257.86,8257.86,366345900
10/9/2025,8187.7,8272.63,8159.94,8250.94,8250.94,347199100
10/8/2025,8201.14,8224.64,8044.93,8166.03,8166.03,355267800
10/7/2025,8182.66,8217.05,8153.71,8169.28,8169.28,426851900
10/6/2025,8155.37,8176.31,8104.55,8139.89,8139.89,429540400
10/3/2025,8099.65,8118.3,8076.6,8118.3,8118.3,428024700
10/2/2025,8070.42,8109.44,8059.05,8071.08,8071.08,402266500
10/1/2025,8069.94,8093.69,8034.25,8043.82,8043.82,536747800
9/30/2025,8137.63,8150.34,8042.82,8061.06,8061.06,461651600
9/29/2025,8139.58,8157.33,8100.02,8123.25,8123.25,439450000
9/26/2025,8051.76,8099.33,8035,8099.33,8099.33,351966900
9/25/2025,8130.02,8146.09,8022.98,8040.67,8040.67,483927800
9/24/2025,8161.28,8169.02,8077.84,8126.56,8126.56,454412900
9/23/2025,8066.29,8125.2,8039.95,8125.2,8125.2,518663700
9/22/2025,8082.26,8087.93,8005.35,8040.04,8040.04,345468800
9/19/2025,7996.2,8051.12,7983.36,8051.12,8051.12,423577900
9/18/2025,8065.74,8068.01,7993.52,8008.43,8008.43,378167700
9/17/2025,7964.42,8025.18,7940.51,8025.18,8025.18,323654400
9/16/2025,7979.32,7985.58,7899.67,7957.7,7957.7,401395800
9/15/2025,7891.26,7937.12,7889.19,7937.12,7937.12,345056100
9/12/2025,7819,7854.81,7790.79,7854.06,7854.06,289619100
9/11/2025,7781.17,7819.1,7742.6,7747.9,7747.9,289797900
9/10/2025,7682.42,7726.38,7661.28,7699.01,7699.01,263174400
9/9/2025,7748.51,7791.33,7619.72,7628.6,7628.6,335416000
9/8/2025,7929.06,7934.99,7766.85,7766.85,7766.85,336787200
9/4/2025,7873.84,7899.8,7855.74,7867.35,7867.35,362349800
9/3/2025,7843.63,7911.62,7840.75,7885.86,7885.86,351685500
9/2/2025,7771.33,7842.3,7771.33,7801.58,7801.58,347812700
9/1/2025,7620.1,7783.42,7547.56,7736.07,7736.07,358661000
8/29/2025,7899.89,7913.86,7765.6,7830.49,7830.49,481348100
8/28/2025,7951.87,8022.76,7941.94,7952.09,7952.09,399326600
8/27/2025,7923,7945.44,7894.76,7936.18,7936.18,357580800
